City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
411,Savonlinna,FI,59.05,clear sky,61.8699,28.88,Savonlinna
416,Aykhal,RU,78.98,broken clouds,66.0,111.5,Aikhal
417,Pundaguitan,PH,82.99,light rain,6.3711,126.1689,Mati
422,Caruray,PH,84.69,overcast clouds,10.3094,119.0128,Puerto Princesa
423,Pijijiapan,MX,74.5,overcast clouds,15.7011,-93.23,Pijijiapan
424,Ulkan,RU,60.78,overcast clouds,57.243,107.3223,Ul'kan
426,Ladario,BR,68.49,few clouds,-19.0047,-57.6017,Corumbá
428,Itamaraca,BR,75.25,moderate rain,-7.7478,-34.8256,Ilha de Itamaracá
430,Isiro,CD,66.04,scattered clouds,2.7739,27.616,Isiro
434,Wuhu,CN,90.66,broken clouds,31.3366,118.3755,Wuhu
435,Shitanjing,CN,77.18,scattered clouds,39.2342,106.3439,Shizuishan
436,Divo,CI,70.41,light rain,5.8397,-5.36,Divo
439,Kalmunai,LK,87.28,overcast clouds,7.4167,81.8167,Kalmunai
440,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Bridgetown
443,Chabahar,IR,86.56,scattered clouds,25.2919,60.643,Chah Bahar
445,Kharagauli,GE,63.63,overcast clouds,42.0214,43.1977,Kharagauli
447,Wasilla,US,74.21,broken clouds,61.5814,-149.4394,Wasilla
448,Bom Jesus,BR,73.58,overcast clouds,-9.0744,-44.3586,Centro
449,Yumen,CN,86.7,clear sky,40.2833,97.2,Jiuquan
450,Saint-Pierre,RE,70.92,overcast clouds,-21.3393,55.4781,Saint Pierre
451,Yambio,SS,69.1,clear sky,4.5721,28.3955,Yambio
452,Sherbakul,RU,63.61,broken clouds,54.6316,72.3963,Sherbakul'
454,Cabo San Lucas,MX,87.62,few clouds,22.8909,-109.9124,Cabo San Lucas
456,Eyl,SO,80.83,overcast clouds,7.9803,49.8164,Eyl
459,Buchanan,LR,75.0,moderate rain,5.8808,-10.0467,Buchanan
461,Price,US,72.66,clear sky,39.5994,-110.8107,Price
462,Sigli,ID,85.75,overcast clouds,5.3848,95.9609,Sigli
463,Surdulica,RS,69.28,broken clouds,42.6906,22.1708,Surdulica
467,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Padang
469,Mantua,IT,78.04,few clouds,45.1667,10.7833,Mantua
470,Troutdale,US,75.16,clear sky,45.5393,-122.3873,Gresham
471,Sabang,ID,82.94,broken clouds,5.8933,95.3214,Sabang
